Line_num	Species	line_center	RV	min_fit	max_fit
1	Mg	15024.992	-113.5	15023.70	15026.00
2	Mg	15040.246	-113.5	15039.00	15041.50
3	Mg	15047.705	-113.9	15047.00	15048.15
4	Fe	15051.749	-115.6	15051.00	15052.30
5	Ca	15057.099	-113.8	15056.70	15057.45
6	Ti	15117.310	-113.9	15116.90	15117.70
7	OH	15129.663	-112.8	15129.30	15130.10
8	OH	15130.921	-113.2	15130.50	15131.40
9	OH	15145.770	-113.5	15145.35	15146.15
10	OH	15147.939	-114.1	15147.50	15148.25
11	Mn	15159.149	-113.4	15158.50	15159.70
12	K	15163.067	-113.7	15162.50	15163.85
13	K	15168.377	-114.1	15167.70	15168.90
14	Fe	15207.526	-113.5	15206.70	15208.40
15	Fe	15244.974	-113.3	15244.25	15245.60
16	Mn	15262.417	-113.8	15261.80	15262.90
17	OH	15264.604	-113.9	15264.20	15265.15
18	OH	15266.168	-113.6	15265.80	15266.50
19	OH	15278.524	-113.4	15278.15	15278.90
20	OH	15281.052	-113.6	15280.65	15281.45
21	OH	15283.572	-113.5	15283.20	15284.05
22	Fe	15294.560	-113.5	15293.70	15295.25
23	OH	15391.056	-113.3	15390.70	15391.60
24	OH	15409.172	-113.7	15408.80	15409.55
25	OH	15419.461	-113.7	15418.90	15419.85
26	OH	15422.366	-114.1	15421.80	15422.75
27	Fe	15490.337	-113.7	15490.00	15490.80
28	OH	15535.462	-113.8	15535.10	15535.80
29	OH	15536.706	-113.7	15536.40	15537.10
30	Ti	15543.758	-113.7	15543.30	15544.30
31	OH	15558.023	-113.5	15557.60	15558.45
32	OH	15560.244	-114.3	15559.80	15560.60
33	OH	15565.817	-113.8	15565.50	15566.40
34	OH	15568.780	-113.7	15568.40	15569.20
35	OH	15572.084	-113.7	15571.70	15572.50
36	Fe	15591.490	-113.7	15590.70	15592.30
37	Ti	15602.842	-113.7	15602.35	15603.30
38	Fe	15604.221	-113.6	15603.55	15604.95
39	Fe	15621.654	-113.2	15620.95	15622.60
40	Fe	15631.948	-113.0	15631.25	15632.55
41	Fe	15648.510	-113.5	15647.90	15649.10
42	OH	15651.896	-113.7	15651.40	15652.30
43	Cr	15680.060	-113.2	15679.30	15680.60
44	Ti	15715.573	-113.8	15715.00	15716.10
45	OH	15717.119	-114.6	15716.65	15717.60
46	OH	15719.696	-113.7	15719.20	15720.10
47	OH	15726.716	-113.5	15726.20	15727.20
48	Mg	15740.716	-113.7	15739.80	15741.40
49	Mg	15748.988	-113.7	15747.90	15750.10
50	OH	15755.522	-113.1	15755.15	15755.95
51	OH	15756.532	-113.5	15756.15	15756.95
52	Mg	15765.842	-113.4	15764.70	15766.80
53	Fe	15769.423	-113.2	15768.70	15770.10
54	OH	15778.786	-113.7	15778.30	15779.20
55	Fe	15818.142	-113.5	15817.30	15818.90
56	Fe	15868.524	-113.6	15867.80	15869.40
57	OH	15884.899	-113.6	15884.50	15885.35
58	Fe	16042.716	-113.9	16042.15	16043.40
59	OH	16052.765	-113.7	16052.35	16053.20
60	OH	16055.464	-113.7	16055.05	16055.85
61	OH	16061.700	-114.0	16061.25	16062.10
62	OH	16065.054	-113.6	16064.65	16065.50
63	OH	16069.524	-113.8	16069.05	16069.95
64	Fe	16125.899	-113.2	16125.35	16126.65
65	Ca	16150.763	-113.0	16150.20	16151.70
66	Ca	16157.364	-112.8	16156.55	16157.90
67	OH	16190.132	-113.6	16189.65	16190.70
68	Ca	16197.075	-112.6	16196.15	16197.85
69	OH	16247.882	-113.5	16247.45	16248.30
70	OH	16251.660	-114.0	16251.20	16252.10
71	OH	16255.019	-113.8	16254.30	16255.40
72	OH	16260.155	-113.9	16259.70	16260.65
73	Fe	16316.320	-112.8	16315.35	16317.20
74	OH	16346.185	-113.6	16345.60	16346.70
75	OH	16347.489	-113.7	16347.10	16347.85
76	OH	16352.218	-113.5	16351.70	16352.75
77	OH	16354.582	-113.2	16354.10	16355.00
78	OH	16368.135	-113.8	16367.85	16368.65
79	Fe	16394.389	-113.2	16393.75	16394.85
80	Ti	16401.509	-113.0	16401.00	16402.10
81	OH	16448.054	-113.4	16447.60	16448.50
82	OH	16450.375	-113.5	16449.95	16450.85
83	OH	16456.037	-113.5	16455.65	16456.60
84	OH	16534.581	-113.5	16534.10	16535.05
85	OH	16605.459	-113.7	16605.10	16605.90
86	OH	16607.516	-113.6	16607.20	16608.00
87	Ti	16635.158	-113.6	16634.70	16635.60
88	OH	16649.949	-113.2	16649.50	16650.40
89	OH	16654.651	-113.5	16654.25	16655.15
90	OH	16655.986	-113.2	16655.65	16656.35
91	Si	16680.770	-112.5	16679.90	16681.40
92	OH	16704.357	-113.5	16703.95	16705.00
93	OH	16714.362	-113.8	16713.95	16714.80
94	Al	16718.957	-113.4	16717.30	16719.90
95	OH	16728.396	-113.6	16728.05	16728.80
96	OH	16729.784	-113.6	16729.45	16730.30
97	Al	16750.564	-112.9	16749.85	16751.25
98	Al	16763.359	-112.9	16762.45	16764.00

